# Upstream source of everything vendored under plugins/ and tools/. The map
# `build-standalone.sh` never had.
#
# Columns: <dir><TAB><owner/repo><TAB><ref><TAB><path><TAB><note>
#   dir  = a plugin directory under plugins/, or a path from the repo root for anything
#          else (`tools/<name>`).
#   repo = `-` means no upstream to pull from: authored here, or the source is not
#          yet confirmed. revendor.sh skips those rows and says so.
#   ref  = a tag, a branch, or `latest` (revendor.sh resolves `latest` to the newest
#          release, then the newest version tag, then the default branch HEAD). Every
#          pull records its commit in sources.lock.tsv, so a branch still shows drift.
#   path = `.` for the whole repository, or one directory inside it. A directory lands
#          at the same relative path under <dir>, with the upstream licence files next
#          to it; the rest of <dir> is ours and is left alone.
# Never leave a field empty: tab is whitespace to `read`, so an empty field shifts
# every column after it. Use `-` or `.`.
#
# Verified against the GitHub API on 2026-08-16. A row is only as good as that check:
# nine of these were first guessed by scanning each plugin's own README, and three of
# the guesses pointed at the wrong repository entirely. Confirm before you add a row.
# The tools/ rows were added on 2026-09-25 and confirmed by content rather than by
# README: each vendored copy was diffed against the upstream tree it came from.

academic-research-skills-main	-	-	-	upstream unconfirmed; README cites stanford-oval/storm as a reference, not its origin
andrej-karpathy-skills-main	multica-ai/andrej-karpathy-skills	latest	.	repo changed owner from forrestchang; no licence file upstream; no tags, so it tracks main by commit
anti-slop	AgriciDaniel/anti-slop	latest	.	no tags, so it tracks main by commit
brooks-lint-main	hyhmrright/brooks-lint	latest	.	
caveman-main	JuliusBrussee/caveman	latest	.	licence reads NOASSERTION over the API; text is MIT in-repo
claude-ads	AgriciDaniel/claude-ads	latest	.	
claude-blog	AgriciDaniel/claude-blog	latest	.	
claude-repurpose	AgriciDaniel/claude-repurpose	latest	.	
claude-seo	AgriciDaniel/claude-seo	latest	.	
claude-shorts	AgriciDaniel/claude-shorts	latest	.	
claude-youtube	AgriciDaniel/claude-youtube	latest	.	no tags, so it tracks main by commit
create-viral-content	-	-	-	upstream unconfirmed; the README's ice-ninja/skills returns 404
cybersecurity-defense	-	-	-	upstream unconfirmed; no URL anywhere in the vendored copy
handoff	-	-	-	authored here (see NOTICE)
idea-validation-agents	MaxKmet/idea-validation-agents	latest	.	no tags, so it tracks main by commit
impeccable-main	pbakaus/impeccable	latest	.	tags come in four families (cli-v, engine-v, ext-v, skill-v); the plugin is skill-v
last30days-skill-main	mvanhorn/last30days-skill	latest	.	
marketingskills	coreyhaines31/marketingskills	latest	.	MIT; main runs ahead of the newest release, so `latest` pins the release and skips unreleased commits
mattpocock-skills-main	mattpocock/skills	latest	.	
mcp-video-analyzer	guimatheus92/mcp-video-analyzer	latest	.	carries a BSO-local Gemini fallback, re-applied by patches/add-gemini-youtube-fallback.sh
modern-web-guidance-main	GoogleChrome/modern-web-guidance	latest	.	vendored dir name says -main; the live repo has no suffix
ponytail-main	DietrichGebert/ponytail	latest	.	
taste-skill	Leonxlnx/taste-skill	latest	.	no tags, so it tracks main by commit
threads-carousel-claude-skill	itchernetski/threads-carousel-claude-skill	latest	.	
ui-ux-pro-max-skill	nextlevelbuilder/ui-ux-pro-max-skill	latest	.	manifests lag the tags: the v2.15.0 tree still reads 2.13.0 in skill.json and plugin.json because the bump workflow runs after release. Trust the tag, not the manifest
vendored-plugin-audit	-	-	-	authored here (see NOTICE)
verification-before-completion	obra/superpowers	latest	skills/verification-before-completion	one skill out of superpowers, which was dropped (README); .claude-plugin/plugin.json is ours
video-editing	-	-	-	upstream unconfirmed; OpenMontage, owner not recorded anywhere here
viral-hooks-skill	-	-	-	upstream unconfirmed; jakeolschewski/social-media-hooks-database is a 2-star near-match
watch	bradautomates/claude-video	latest	.	
worktrunk-main	max-sixty/worktrunk	latest	.	
youtube-shorts-pipeline	rushindrasinha/youtube-shorts-pipeline	latest	.	
youtuber	AgriciDaniel/youtuber	latest	.	no tags, so it tracks main by commit
tools/Agent-Reach-main	Panniantong/Agent-Reach	main	.	no release since v1.5.0 (June) and the vendored copy was already a later main snapshot, so `latest` would downgrade it
tools/agency-agents	msitarzewski/agency-agents	latest	.	no tags, so it tracks main by commit; 328 of 343 vendored files matched upstream main
tools/agentskills	agentskills/agentskills	latest	.	the skill-authoring spec; no tags, so it tracks main by commit
tools/ai-website-cloner-template-master	JCodesMore/ai-website-cloner-template	latest	.	the vendored copy was a main snapshot just past v0.3.1
tools/design.md	google-labs-code/design.md	latest	.	the vendored copy matched 0.4.0 byte for byte
tools/notebooklm-mcp-cli-main	jacob-bd/notebooklm-mcp-cli	latest	.	the vendored copy matched v0.8.1 byte for byte
tools/vercel-labs-skills-main	vercel-labs/skills	latest	.	the vendored copy matched v1.5.14 byte for byte
